"Genes"	"G3M19LEG"	"G3M5CM"	"G3M5LEG"	"RMS1"	"RMS3"	"RMS_3"	"T_LEFT"	"T_LEG"
"120"	"ENSG00000135899"	0.818701913333333	0.163753	2.03327194	0.01890416	0.00442019333333333	0.0290825	0.15527744	0.526926866666667
"121"	"ENSG00000182791"	0	0	0.0139946	0	0	0	0	0.250027
"122"	"ENSG00000214189"	2.18343201825346	0.868723738840092	1.35261935714747	1.33037028034101	1.4673663200977	0.288122622580645	0.90482028780765	0.621104747112903
"123"	"ENSG00000234409"	0	0.523244	0.0838985	0.0987974	0	0	0.130331	0
"124"	"ENSG00000166960"	0	0	0.01344045	0	0	0	0	0.01200105
"125"	"ENSG00000162040"	0.325326	0	0.0403938	0.326887	0.954091	0	0.0411389	0.45028
"126"	"ENSG00000099949"	44.9565	12.2203	32.1424	29.6721	28.4611	3.41999	8.22233	5.38313
"127"	"ENSG00000142186"	53.3965	37.1793	46.6719	78.7649	73.1815	25.6022	24.606	36.2392
"128"	"ENSG00000107518"	11.2568	1.18296	6.47205	3.11282	4.93867	0.270887	1.17494	1.66489
"129"	"ENSG00000044115"	136.318	23.9957	82.135	81.189	81.1088	7.63075	19.8263	15.022
"130"	"ENSG00000007545"	7.38744	2.51483	4.13471	5.58077	5.58074	0.963434	1.55072	1.81982
"131"	"ENSG00000188694"	0	0	0	0	0	0	0	0
"132"	"ENSG00000066926"	24.292	38.0249	18.7506	8.2247	11.7614	0.98999	27.6282	3.10889
"133"	"ENSG00000174898"	0.125865	0.0242699	0.169598	0.58637	0.21607	0.112615	0.0203048	0.734607
"134"	"ENSG00000177283"	8.65971	2.94718	8.15491	4.64834	6.83269	0.427677	2.5311	0.606297
"135"	"ENSG00000154059"	21.4961	13.1792	16.7165	18.9364	34.3015	1.25356	8.63842	4.11895
"136"	"ENSG00000156374"	7.71113	3.58377	5.577	10.0019	5.89096	0.696524	3.125	2.57628
"137"	"ENSG00000136715"	7.73924	1.3736205	4.5587115	5.50551	6.48652	1.1336155	1.001997	1.6704615
"138"	"ENSG00000099246"	132.792	41.2536	56.2235	35.5763	49.0212	3.04626	39.7362	12.449
"139"	"ENSG00000113070"	55.6835	5.03528	25.9728	15.495	15.0125	2.4894	4.18321	5.13163
"140"	"ENSG00000145781"	25.1757	4.48691	17.4659	10.6313	13.2416	0.886458	3.23333	3.54024
"141"	"ENSG00000158402"	9.41566	0.124886	4.15177	8.5367	10.3267	4.5542	0.0597204	5.24696
"142"	"ENSG00000100038"	15.7446	7.75232	12.6807	18.4627	15.6839	3.29637	5.43089	4.2688
"143"	"ENSG00000113732"	176.42837	21.150195	108.483105	62.80654	96.636331	5.4870765	18.6414435	53.99922
"144"	"ENSG00000103363"	762.172	794.45	1210.02	2403.87	1852.5	218.599	542.102	431.065
