#1.2									
									
Genes	Genes	D5	D0	D5	D5	D5	D5	D0	D5
ENSMUST00000151346.7	ENSMUST00000151346.7	3.4372	1.17601	0.433667	0.545833	0.324507	0.124211	0.397093	0.473233
ENSMUST00000140596.1	ENSMUST00000140596.1	15.2746	1.90739	2.91254	2.5184	1.29777	0.184279	1.66026	0.765883
ENSMUST00000123765.7	ENSMUST00000123765.7	3.56372	0.976934	7.95502	6.77317	5.95699	0.347573	2.75433	1.52635
ENSMUST00000049937.12	ENSMUST00000049937.12	73.4792	50.6463	49.0368	70.4129	80.2224	16.2871	40.0809	26.009
ENSMUST00000026416.14	ENSMUST00000026416.14	8.24239	1.15384	6.81326	4.16322	2.74011	0.502202	1.33659	0.148806
ENSMUST00000219601.1	ENSMUST00000219601.1	2.10069	0.310865	1.42038	0.294074	0.681091	0.0488706	0.119904	0.0881395
ENSMUST00000082175.6	ENSMUST00000082175.6	3.26435	3.09221	2.45246	1.54632	1.24536	0.712821	2.11363	0.602008
ENSMUST00000174372.2	ENSMUST00000174372.2	22.294	2.36094	24.7727	52.1635	50.9955	9.69868	2.24693	79.8124
ENSMUST00000093162.3	ENSMUST00000093162.3	1.22423	0.901468	1.28936	2.81051	2.14791	0.410697	0.524265	0.767666
ENSMUST00000052355.14	ENSMUST00000052355.14	38.6859	3.50894	17.6308	11.2226	16.719	1.22435	3.50848	4.08173
ENSMUST00000111037.2	ENSMUST00000111037.2	0.216238	1.9062	0.649531	1.61098	1.24149	0.302969	3.53796	0.0146069
ENSMUST00000034539.11	ENSMUST00000034539.11	37.1402	11.924	31.1368	19.6017	26.0598	2.48768	9.50738	5.79703
ENSMUST00000015680.10	ENSMUST00000015680.10	55.4865	29.9906	64.9634	28.2275	36.2777	0.132659	47.841	8.38514
ENSMUST00000019065.9	ENSMUST00000019065.9	17.159	7.54581	13.6047	20.0382	15.7855	7.03571	4.71244	6.24222
ENSMUST00000139143.7	ENSMUST00000139143.7	0.00300615	0.904196	5.96943	4.52417	4.00456	1.6885	0.745236	2.86814
ENSMUST00000044455.7	ENSMUST00000044455.7	4.57536	0.487756	1.44731	1.08754	1.56203	0.205122	0.341514	0.776438
ENSMUST00000127296.7	ENSMUST00000127296.7	0.434565	2.09561	3.92116	2.53181	2.46745	0.0998181	2.66572	1.80045
ENSMUST00000106218.7	ENSMUST00000106218.7	7.94534	4.52299	4.08962	4.21474	4.0607	0.00769505	4.1679	0.241048
ENSMUST00000108594.7	ENSMUST00000108594.7	10.9237	7.46613	15.0508	8.14757	11.6837	0.247265	8.48628	1.11358
ENSMUST00000123701.8	ENSMUST00000123701.8	40.4106	8.83254	31.2457	25.0769	21.8713	5.57641	8.246	3.56414
ENSMUST00000019982.8	ENSMUST00000019982.8	13.1662	9.46308	11.7035	16.1361	15.6525	4.25347	9.15595	6.94718
ENSMUST00000213628.1	ENSMUST00000213628.1	30.5678	0.835614	20.1965	28.3661	23.6804	10.5086	5.82098	40.6937
ENSMUST00000152124.1	ENSMUST00000152124.1	2.60139	2.10004	2.17236	1.48278	1.18387	0.316034	1.95833	1.55333
ENSMUST00000095117.9	ENSMUST00000095117.9	1.93929	2.35925	1.37544	3.59846	2.6385	1.33257	1.41997	1.20232
ENSMUST00000161415.1	ENSMUST00000161415.1	27.7514	5.06149	188.05	13.979	12.619	2.15211	3.75022	18.6152
ENSMUST00000021283.7	ENSMUST00000021283.7	10.1707	0.318957	13.0626	0.405986	1.07199	0.364865	0.294991	2.22481
ENSMUST00000033335.5	ENSMUST00000033335.5	16.9872	7.74429	17.2729	18.2982	14.8679	2.67263	6.64968	11.127
ENSMUST00000031011.11	ENSMUST00000031011.11	34.746	4.23991	21.3365	17.403	20.1842	1.00944	7.60746	3.7265
ENSMUST00000202913.1	ENSMUST00000202913.1	11.7448	15.0478	1.8602	0.524271	1.61886	0.559495	9.43798	3.29425
ENSMUST00000034702.5	ENSMUST00000034702.5	17.047	7.13678	14.8946	4.27485	7.46817	0.349102	8.16192	3.55357
ENSMUST00000143073.7	ENSMUST00000143073.7	2.66417	1.85713	4.06827	2.65883	1.62748	0.73823	0.989581	6.29016
ENSMUST00000107922.2	ENSMUST00000107922.2	2.96583	5.34111	10.0402	10.0798	3.87249	15.1805	3.24319	41.804
ENSMUST00000137113.1	ENSMUST00000137113.1	0.458566	0.586931	0.630064	2.45243	0.60004	0.246446	0.696438	1.69724
ENSMUST00000230774.1	ENSMUST00000230774.1	0.672761	0.194516	2.1531	1.34219	1.7091	1.32187	0.140242	2.48817
ENSMUST00000228714.1	ENSMUST00000228714.1	0.208482	0.104581	0.118929	0.0803149	0.0479993	0.059815	0.0431818	3.52563
ENSMUST00000147096.1	ENSMUST00000147096.1	25.1694	29.4812	25.0655	37.503	35.8799	3.48226	19.7031	4.35747
ENSMUST00000166172.8	ENSMUST00000166172.8	16.7393	1.81697	4.80282	4.81651	6.42213	1.65899	1.63255	3.75507
ENSMUST00000132080.1	ENSMUST00000132080.1	5.77625	10.3113	8.53753	16.4735	10.3225	0.95112	5.22075	5.76912
ENSMUST00000124889.1	ENSMUST00000124889.1	4.94124	6.54579	7.80369	19.2698	12.6024	0.0245114	2.383	0.66723
ENSMUST00000118410.7	ENSMUST00000118410.7	22.7406	3.75796	12.5757	8.92565	14.4554	1.05036	3.7612	1.88676
ENSMUST00000191670.5	ENSMUST00000191670.5	36.6236	3.75879	6.61107	2.79594	8.47471	1.59952	2.85591	0.0658942
ENSMUST00000075164.10	ENSMUST00000075164.10	4.18764	0.152541	1.92742	3.14239	0.88786	0.23024	0.141797	0.0951394
ENSMUST00000044058.10	ENSMUST00000044058.10	7.34038	11.6007	7.43234	6.20028	6.31832	0.650986	8.82911	1.40717
ENSMUST00000130348.1	ENSMUST00000130348.1	2.93341	0.975715	2.85774	0.000846434	2.10303	0.365348	0.614111	0.00845192
ENSMUST00000001566.9	ENSMUST00000001566.9	340.37	29.9807	426.667	419.419	524.64	58.266	16.2445	66.2659
ENSMUST00000156050.1	ENSMUST00000156050.1	7.489	0.40103	3.98016	5.37185	5.0036	0.297052	0.357847	0.451418
ENSMUST00000152704.7	ENSMUST00000152704.7	788.805	295.862	793.965	644.663	670.016	33.5352	281.524	137.048
ENSMUST00000028580.11	ENSMUST00000028580.11	20.3439	1.38384	15.603	18.0553	22.7744	79.9115	1.86588	24.8919
ENSMUST00000003320.12	ENSMUST00000003320.12	16.0023	18.4989	13.9844	8.90633	10.7667	1.73797	12.056	4.64931
ENSMUST00000043333.8	ENSMUST00000043333.8	5.87736	2.84918	9.51737	9.68174	7.92336	0.334277	1.83525	0.876166
ENSMUST00000099118.7	ENSMUST00000099118.7	2.86651	5.90741	19.718	36.4433	29.2068	6.39366	3.84382	7.08449
ENSMUST00000113107.7	ENSMUST00000113107.7	4.3005	2.30809	3.71141	2.27939	1.54504	0.0453561	0.919144	0.210096
ENSMUST00000023119.14	ENSMUST00000023119.14	1.75263	0.0380521	1.84153	5.2665	9.24013	0.525308	0.0756252	0.55445
ENSMUST00000065562.5	ENSMUST00000065562.5	9.11325	1.63423	4.28952	1.83145	2.90547	0.494753	1.46051	1.46392
ENSMUST00000067692.12	ENSMUST00000067692.12	0.515926	0.168343	0.351585	0.63162	0.393793	0.275409	0.145704	3.51172
ENSMUST00000001166.13	ENSMUST00000001166.13	4.44718	0.386941	3.03257	1.89503	2.44251	0.0741735	0.645603	0.68304
ENSMUST00000195264.1	ENSMUST00000195264.1	0.646815	0.276464	0.219707	0.255449	0.104519	0.106871	0.290395	2.30139
ENSMUST00000006496.14	ENSMUST00000006496.14	1430.12	586.325	1733.64	1446.89	1541.23	171.814	413.146	445.081
ENSMUST00000108623.7	ENSMUST00000108623.7	11.9128	2.58489	13.0766	12.2398	10.5578	7.80831	1.28439	31.8866
ENSMUST00000108625.7	ENSMUST00000108625.7	6.12314	2.56206	9.36199	3.71874	10.4388	1.24769	2.54833	1.26973
ENSMUST00000126562.7	ENSMUST00000126562.7	4.75364	1.29478	9.3554	5.78694	3.60605	0.222713	0.553057	0.696183
ENSMUST00000111122.8	ENSMUST00000111122.8	24.4106	2.16564	1.25398	2.9032	3.78458	0.806854	0.916895	1.26787
ENSMUST00000166743.8	ENSMUST00000166743.8	26.279	5.08811	7.77705	3.10364	7.1413	1.25831	1.29381	0.581074
ENSMUST00000106318.7	ENSMUST00000106318.7	59.0166	9.19459	56.134	40.4659	45.0488	4.11538	9.13495	13.3553
ENSMUST00000056458.13	ENSMUST00000056458.13	10.0826	1.95318	15.0592	13.4255	10.0482	2.59892	2.9301	2.42199
ENSMUST00000176204.7	ENSMUST00000176204.7	5.9397	9.55E-11	0.244903	1.71E-08	2.77E-09	1.51E-10	2.16E-10	2.03786
ENSMUST00000048183.7	ENSMUST00000048183.7	4.41536	3.1109	67.4383	0.185408	0.502309	0.132295	14.2365	2.46133
ENSMUST00000050884.13	ENSMUST00000050884.13	162.347	13.7725	97.3204	99.9612	152.185	24.5027	11.3905	38.2095
ENSMUST00000165528.7	ENSMUST00000165528.7	1.35682	2.72883	7.23265	0.58228	1.14284	0.625128	4.81175	3.16825
ENSMUST00000036720.8	ENSMUST00000036720.8	6.83908	4.90179	7.95274	12.7791	10.7169	2.21457	4.31762	2.49785
ENSMUST00000086058.12	ENSMUST00000086058.12	19.0804	5.50873	33.7272	33.7814	30.6788	14.8302	5.26807	21.0159
ENSMUST00000080511.2	ENSMUST00000080511.2	0.658686	0.394292	0.161847	0.095027	0.385435	1.27913	0.165124	8.45938
ENSMUST00000114839.7	ENSMUST00000114839.7	88.4009	9.97763	31.9887	31.2541	58.1561	3.5719	8.96936	16.8829
ENSMUST00000012734.9	ENSMUST00000012734.9	5.55835	1.03139	1.29748	3.52476	4.68168	4.54267	0.761313	4.2291
ENSMUST00000149553.1	ENSMUST00000149553.1	3.84291	1.11711	3.01021	14.317	7.58098	30.4306	1.71923	50.4565
ENSMUST00000136442.1	ENSMUST00000136442.1	3.04406	2.21631	1.30009	2.19432	1.36243	0.268356	0.854326	0.446912
ENSMUST00000173669.1	ENSMUST00000173669.1	14.0737	11.8586	79.832	1.31417	1.74055	7.24961	4.35288	46.9469
ENSMUST00000069507.8	ENSMUST00000069507.8	24.8231	4.01387	31.9944	0.534033	0.759449	0.293561	1.35366	0.620777
ENSMUST00000033824.7	ENSMUST00000033824.7	559.303	184.34	398.502	335.983	522.297	10.3005	181.601	105.921
ENSMUST00000156673.1	ENSMUST00000156673.1	0.792641	5.6856	2.0762	0.154323	0.0911722	0.0542522	2.43654	0.170898
ENSMUST00000031017.10	ENSMUST00000031017.10	43.1055	5.75044	10.8653	28.4189	29.0176	4.3364	1.75843	10.1618
ENSMUST00000201110.1	ENSMUST00000201110.1	0.847463	0.138331	0.128203	0.342785	0.379377	3.17103	0.0888297	19.3739
ENSMUST00000099945.5	ENSMUST00000099945.5	34.2218	42.2975	14.8574	11.6427	15.7483	2.50367	58.2701	6.32222
ENSMUST00000023036.6	ENSMUST00000023036.6	104.143	58.4624	75.4635	138.365	162.185	11.2123	58.9457	17.8943
ENSMUST00000229991.1	ENSMUST00000229991.1	0.992628	2.45767	0.667013	4.746	3.31045	1.25053	1.20611	3.25928
ENSMUST00000029814.9	ENSMUST00000029814.9	30.4831	1.71632	10.5696	7.85908	12.2414	0.23924	1.83025	1.71161
