"Genes"	"G3M19LEG"	"G3M5CM"	"G3M5LEG"	"RMS1"	"RMS3"	"RMS_3"	"T_LEFT"	"T_LEG"	"expression_1.x"	"expression_2.x"	"expression_3.x"	"expression_1.y"	"expression_2.y"	"expression_3.y"
"46"	"ENSMUSG00000000378"	8.0908945	2.86750975	8.04799125	6.2970849625	6.62930655	1.53361625	1.7079279	2.11370425	8.01229333333333	8.04172333333333	7.90140333333333	8.01229333333333	8.04172333333333	7.90140333333333
"47"	"ENSMUSG00000000384"	3.74232787566667	3.01568309048333	2.66780123333333	4.51389258333333	3.95888828333333	1.48839639166667	1.90908728333333	2.73773925	5.7370725	5.66779	5.66637	5.7370725	5.66779	5.66637
"48"	"ENSMUSG00000000386"	1.3578672	0.0769824	1.467863	0.48391862	0.70454646	0.341288	0.0877728	0.7563666	5.05453	4.82251	5.56627	5.05453	4.82251	5.56627
"49"	"ENSMUSG00000000392"	4.23790855555556	0.492937555555556	1.46446855555556	0.539732644444444	0.709254922222222	0.0986593477777778	0.792797777777778	0.431221888888889	9.80765	10.5722	10.6037	9.80765	10.5722	10.6037
"50"	"ENSMUSG00000000399"	32.0125936666667	71.1234793333333	36.6177983333333	27.268681	27.2720613	2.85413333333333	72.149956	6.483329	9.68115	9.90061	9.34136	9.68115	9.90061	9.34136
"51"	"ENSMUSG00000000402"	0.292195	0.152573	0.0683584	0.0391291	0.130332	0.0175317	0.168436	0.443168	3.44373	3.68933	3.53304	3.44373	3.68933	3.53304
"52"	"ENSMUSG00000000409"	0.47978625	0.01787975	2.280680375	0.2136481261975	0.040384125	0.0081914876065	0.0706838	1.81207875	4.6239	4.55199	4.427595	4.6239	4.55199	4.427595
"53"	"ENSMUSG00000000420"	24.40617875	2.2543635	6.3114995	2.451733125	3.331681875	0.441742375	2.0434606625	2.013215125	8.594875	8.797665	8.46226	8.594875	8.797665	8.46226
"54"	"ENSMUSG00000000439"	2.77115466666667	3.06081533333333	1.918434	1.254973	1.50794166666667	0.217400333333333	2.47847466666667	0.897776666666667	6.88729	6.893325	6.838845	6.88729	6.893325	6.838845
"55"	"ENSMUSG00000000440"	0.179605	0.786021142857143	0.195396714285714	0.0276432857142857	0.0419991714285714	0.0391672857142857	0.298542857142857	0.606054271428571	6.49851	6.55746	6.45005	6.49851	6.55746	6.45005
